path,title,creator_or_rights_holder,source_url,original_license_or_terms,license_url_or_notes
satellites/sentinel-6/sentinel-6.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/SMOS/SMOS-1024px.png,,,https://eo.belspo.be/sites/default/files/styles/xlarge/public/satellites/161._smos.jpg?itok=R8nyZUE0,,
satellites/SMOS/SMOS-512px.png,,,https://eo.belspo.be/sites/default/files/styles/xlarge/public/satellites/161._smos.jpg?itok=R8nyZUE0,,
satellites/SMOS/SMOS-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/SMOS/SMOS.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/swarm/swarm-1024px.png,,,https://earth.esa.int/eogateway/documents/20142/0/swarm1.jpg/6284e757-344b-0410-7f05-39dbb2d47d8b?t=1608137836438,,
satellites/swarm/swarm-512px.png,,,https://earth.esa.int/eogateway/documents/20142/0/swarm1.jpg/6284e757-344b-0410-7f05-39dbb2d47d8b?t=1608137836438,,
satellites/swarm/swarm-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/swarm/swarm.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/SWOT/SWOT-1024px.png,,,https://science.nasa.gov/multimedia/spacecraft-icons/,,
satellites/SWOT/SWOT-512px.png,,,https://science.nasa.gov/multimedia/spacecraft-icons/,,
satellites/SWOT/SWOT-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/SWOT/SWOT.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/TIMED/TIMED-1024px.png,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/TIMED.jpg,,
satellites/TIMED/TIMED-512px.png,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/TIMED.jpg,,
satellites/TIMED/TIMED-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/TIMED/TIMED.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
